CAP,GPO,DESCRIP
1,1,A00-A09
1,2,A15-A19
1,3,A20-A28
1,4,A30-A49
1,5,A50-A64
1,6,A65-A69
1,7,A70-A74
1,8,A75-A79
1,9,A80-A89
1,10,A90-A99
1,11,B00-B09
1,12,B15-B19
1,13,B20-B24
1,14,B25-B34
1,15,B35-B49
1,16,B50-B64
1,17,B65-B83
1,18,B85-B89
1,19,B90-B94
1,20,B95-B98
1,21,B99
2,1,C00-C14
2,2,C15-C26
2,3,C30-C39
2,4,C40-C41
2,5,C43-C44
2,6,C45-C49
2,7,C50
2,8,C51-C58
2,9,C60-C63
2,10,C64-C68
2,11,C69-C72
2,12,C73-C75
2,13,C76-C80
2,14,C81-C96
2,15,C97
2,16,D00-D09
2,17,D10-D36
2,18,D37-D48
3,1,D50-D53
3,2,D55-D59
3,3,D60-D64
3,4,D65-D69
3,5,D70-D77
3,6,D80-D89
4,1,E00-E07
4,2,E10-E14
4,3,E15-E16
4,4,E20-E35
4,5,E40-E46
4,6,E50-E64
4,7,E65-E68
4,8,E70-E90
5,1,F00-F09
5,2,F10-F19
5,3,F20-F29
5,4,F30-F39
5,5,F40-F48
5,6,F50-F59
5,7,F60-F69
5,8,F70-F79
5,9,F80-F89
5,10,F90-F98
5,11,F99
6,1,G00-G09
6,2,G10-G14
6,3,G20-G26
6,4,G30-G32
6,5,G35-G37
6,6,G40-G47
6,7,G50-G59
6,8,G60-G64
6,9,G70-G73
6,10,G80-G83
6,11,G90-G99
7,1,H00-H06
7,2,H10-H13
7,3,H15-H22
7,4,H25-H28
7,5,H30-H36
7,6,H40-H42
7,7,H43-H45
7,8,H46-H48
7,9,H49-H52
7,10,H53-H54
7,11,H55-H59
8,1,H60-H62
8,2,H65-H75
8,3,H80-H83
8,4,H90-H95
9,1,I00-I02
9,2,I05-I09
9,3,I10-I15
9,4,I20-I25
9,5,I26-I28
9,6,I30-I52
9,7,I60-I69
9,8,I70-I79
9,9,I80-I89
9,10,I95-I99
10,1,J00-J06
10,2,J09-J18
10,3,J20-J22
10,4,J30-J39
10,5,J40-J47
10,6,J60-J70
10,7,J80-J84
10,8,J85-J86
10,9,J90-J94
10,10,J95-J99
11,1,K00-K14
11,2,K20-K31
11,3,K35-K38
11,4,K40-K46
11,5,K50-K52
11,6,K55-K64
11,7,K65-K67
11,8,K70-K77
11,9,K80-K87
11,10,K90-K93
12,1,L00-L08
12,2,L10-L14
12,3,L20-L30
12,4,L40-L45
12,5,L50-L54
12,6,L55-L59
12,7,L60-L75
12,8,L80-L99
13,1,M00-M03
13,2,M05-M14
13,3,M15-M19
13,4,M20-M25
13,5,M30-M36
13,6,M40-M43
13,7,M45-M49
13,8,M50-M54
13,9,M60-M63
13,10,M65-M68
13,11,M70-M79
13,12,M80-M85
13,13,M86-M90
13,14,M91-M94
13,15,M95-M99
14,1,N00-N08
14,2,N10-N16
14,3,N17-N19
14,4,N20-N23
14,5,N25-N29
14,6,N30-N39
14,7,N40-N51
14,8,N60-N64
14,9,N70-N77
14,10,N80-N98
14,11,N99
15,1,O00-O08
15,2,O10-O16
15,3,O20-O29
15,4,O30-O48
15,5,O60-O75
15,7,O85-O92
15,8,O95-O99
16,1,P00-P04
16,2,P05-P08
16,3,P10-P15
16,4,P20-P29
16,5,P35-P39
16,6,P50-P61
16,7,P70-P74
16,8,P75-P78
16,9,P80-P83
16,10,P90-P96
17,1,Q00-Q07
17,2,Q10-Q18
17,3,Q20-Q28
17,4,Q30-Q34
17,5,Q35-Q37
17,6,Q38-Q45
17,7,Q50-Q56
17,8,Q60-Q64
17,9,Q65-Q79
17,10,Q80-Q89
17,11,Q90-Q99
18,1,R00-R09
18,2,R10-R19
18,3,R20-R23
18,4,R25-R29
18,5,R30-R39
18,6,R40-R46
18,7,R47-R49
18,8,R50-R69
18,9,R70-R79
18,10,R80-R82
18,11,R83-R89
18,12,R90-R94
18,13,R95-R99
20,1,V01-V09
20,2,V10-V19
20,3,V20-V29
20,4,V30-V39
20,5,V40-V49
20,6,V50-V59
20,7,V60-V69
20,8,V70-V79
20,9,V80-V89
20,10,V90-V94
20,11,V95-V97
20,12,V98-V99
20,13,W00-W19
20,14,W20-W49
20,15,W50-W64
20,16,W65-W74
20,17,W75-W84
20,18,W85-W99
20,19,X00-X09
20,20,X10-X19
20,21,X20-X29
20,22,X30 -X39
20,23,X40-X49
20,24,X50-X57
20,25,X58-X59
20,26,X60-X84
20,27,X85-Y09
20,28,Y10-Y34
20,29,Y35-Y36
20,30,Y40-Y59
20,31,Y60-Y69
20,32,Y70-Y82
20,33,Y34-Y84
20,34,Y85-Y89
20,35,Y90-Y98
22,1,U00-U49